what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476560312
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1365476576515
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476577187
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1365476577218
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476577687
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476580281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476582687
started,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20110305-1450,"org.eclipse.jdt.apt.ui",1365476586515
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476592906
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1365476592953
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476593156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476594031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476601093
started,bundle,org.eclipse.wst.validation.ui,1.2.204.v201004150700,"org.eclipse.wst.validation.ui",1365476603265
started,bundle,org.eclipse.wst.wsi.ui,1.0.502.v201104071820,"org.eclipse.wst.wsi.ui",1365476603328
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476610875
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1365476610906
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476620500
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476622125
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1365476622125
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476622406
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476623390
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476630921
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476656937
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1365476656953
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.AllMarkersView",1365476660500
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1365476670796
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476674890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476691796
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1365476691812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476704359
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476710843
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1365476710875
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476717562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476723968
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1365476723984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476724593
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476725234
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.AllMarkersView",1365476731500
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1365476731593
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1365476731593
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1365476731609
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1365476744437
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1365476747546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476747812
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476750578
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476755250
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476758046
executed,command,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.project.cleanAction",1365476758062
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476758328
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476760359
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476769718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476774937
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1365476774953
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476793890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476815500
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.AllMarkersView",1365476840156
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1365476848750
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365476854562
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1365476855125
started,bundle,org.eclipse.core.variables,3.2.500.v20110511,"org.eclipse.core.variables",1365476855515
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1365476860671
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476865187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476884890
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.properties",1365476884968
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1365476893703
opened,editor,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.editor",1365476895078
activated,editor,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.editor",1365476895140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476900468
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1365476930468
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476934828
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1365476935890
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.run",1365476937078
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1365476941468
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1365476947390
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1365476951343
error,log,,,"Server Tomcat v6.0 Server at localhost failed to start.",1365476951531
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1365476951531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476951625
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476953046
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1365476955531
opened,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1365476956890
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1365476956968
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1365476963640
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.run",1365476966281
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1365476966906
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1365476970968
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476971421
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365476987328
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1365476992718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365477001156
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365477009796
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1365477009796
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365477020609
started,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1365477020718
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1365477020718
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365477027937
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1365477027968
started,bundle,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser",1365477028000
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1365477028296
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1365477028343
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1365477038734
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365477054234
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365477083093
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365477099906
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365477101171
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365477101812
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365477102890
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365477131375
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365480706265
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365480711015
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365482721484
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365482726390
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365483837968
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1365483840515
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1365483843890
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1365483846265
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1365483849140
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365483850843
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365483885312
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.stop",1365483887546
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1365483890984
activated,editor,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.DefaultTextEditor",1365483891046
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1365483891046
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365483893421
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365483940796
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1365483942359
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.run",1365483943578
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1365483944250
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365483953937
error,log,,,"Server Tomcat v6.0 Server at localhost was unable to start within 45 seconds. If the server requires more time, try increasing the timeout in the server editor.",1365483988625
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365483988640
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1365483988640
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365483993000
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365483993125
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.run",1365483996281
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1365483996921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365484001781
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365484005546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365484008515
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365484038421
error,log,,,"Server Tomcat v6.0 Server at localhost was unable to start within 45 seconds. If the server requires more time, try increasing the timeout in the server editor.",1365484041281
activated,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1365484041328
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365484070031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365484072843
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365484074546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365484074953
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365484077890
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365484079046
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1365484079265
started,bundle,org.eclipse.equinox.p2.ui,2.1.0.v20110601,"org.eclipse.equinox.p2.ui",1365484080156
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1365484080578
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1365484080578
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1365484080578
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1365484080578
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1365484080578
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1365484080593
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1365484080609
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1365484080609
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1365484080609
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1365484080609
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1365484080609
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1365484080609
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.401.v201108240414,"org.eclipse.jst.ws.consumption.ui",1365484080609
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.601.v201108230319,"org.eclipse.jst.ws.consumption",1365484080609
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.core",1365484080609
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.core",1365484080640
stopped,bundle,org.eclipse.jst.ws.cxf.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.cxf.ui",1365484080640
stopped,bundle,org.eclipse.jst.ws.cxf.core,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.core",1365484080640
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.500.v201004211805,"org.eclipse.jst.ws.uddiregistry",1365484080640
stopped,bundle,org.eclipse.jst.ws.ui,1.0.403.v201004211805,"org.eclipse.jst.ws.ui",1365484080640
stopped,bundle,org.eclipse.jst.ws,1.0.509.v201108250610,"org.eclipse.jst.ws",1365484080671
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.607.v201103082002,"org.eclipse.wst.ws.explorer",1365484080671
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.403.v201108240515,"org.eclipse.wst.wsdl.ui",1365484080671
stopped,bundle,org.eclipse.wst.ws.ui,1.1.200.v201004211805,"org.eclipse.wst.ws.ui",1365484080671
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.502.v201104071820,"org.eclipse.wst.wsi.ui",1365484080671
stopped,bundle,org.eclipse.wst.wsi,1.0.401.v201104071820,"org.eclipse.wst.wsi",1365484080671
stopped,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1365484080671
stopped,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1365484080671
stopped,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1365484080671
stopped,bundle,org.eclipse.wst.ws.parser,1.0.403.v201004211805,"org.eclipse.wst.ws.parser",1365484080703
stopped,bundle,org.eclipse.jpt.dbws.eclipselink.ui,1.0.0.v201104110000,"org.eclipse.jpt.dbws.eclipselink.ui",1365484080703
stopped,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1365484080703
stopped,bundle,org.eclipse.jst.ws.jaxws.core,1.0.100.v201104031139,"org.eclipse.jst.ws.jaxws.core",1365484080703
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1365484080703
stopped,bundle,org.eclipse.team.svn.mylyn,0.7.9.I20110318-1700,"org.eclipse.team.svn.mylyn",1365484080703
stopped,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1365484080703
